Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,57,19,0,0,10,1,73,8.04355
1,1,78,25,0,0,9,1,91,9.08195
1,1,57,19,0,0,8,1,70,6.54628
1,1,67,22,0,0,9,1,79,6.44041
1,1,55,18,0,0,9,1,66,7.50161
1,1,107,32,0,0,11,1,124,6.94374
1,1,65,20,0,0,9,1,92,8.52853
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,70,22,0,0,9,1,100,8.13997
1,1,70,24,0,0,9,1,89,8.5815
1,1,55,18,0,0,7,1,63,7.00734
1,1,71,23,0,0,10,1,92,8.28274
1,1,65,19,0,0,8,1,74,9.50799
1,1,59,17,0,0,8,1,75,6.92601
1,1,56,16,0,0,9,1,66,6.87412
1,1,57,22,0,0,9,1,68,7.98002
1,1,59,18,0,0,11,1,74,7.28967
1,1,46,14,0,0,9,1,54,9.03587
