n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,258.2,933,27.6742,1.4069,2.2,717.1,7.6,3.9,860.8,555.7,154.904
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,258.2,933,27.6742,1.43104,2.3,727.4,7.6,3.9,871.7,550.8,158.261
50,20,1,2,0,257.2,933,27.567,1.21521,0.9,586.9,7.5,4.9,725.3,549.7,131.945
50,20,2,1,0,364.4,933,39.0568,3.4234,0,1683.2,13,4.6,1803.1,484.7,372.003
50,20,2,2,0,406.8,933,43.6013,3.78297,0,1980.4,13,5.9,2116.7,516.4,409.895
50,20,3,1,0,277.2,933,29.7106,1.81329,0.2,942.4,8.7,4.6,1070.1,477.6,224.058
50,20,3,2,0,304,933,32.5831,1.86078,0.3,1106.2,8.6,4.9,1250.8,502.9,248.717
50,40,1,1,0,415.7,1913,21.7303,0.914248,1.2,1022.2,7.6,4.1,1257.6,1245.2,100.996
50,40,1,2,0,421.7,1913,22.0439,0.784786,1.1,929.3,7.5,5.5,1171,1334.6,87.7416
50,40,2,1,0,581.6,1913,30.4025,1.99152,0,2365.8,13,4.6,2562.5,1223.4,209.457
50,40,2,2,0,582.3,1913,30.4391,1.6179,0,1984.4,13,6.7,2182,1328.3,164.27
50,40,3,1,0,430.7,1913,22.5144,1.04383,0.5,1162.8,8.7,4.4,1371.8,1189.3,115.345
50,40,3,2,0,456.6,1913,23.8683,1.00702,0.4,1158.1,8.7,5.1,1383,1259.5,109.805
50,60,1,1,0,581.8,2893,20.1106,0.756182,1.7,1478.2,7.6,3.8,1820.1,2138.3,85.119
50,60,1,2,0,592.5,2893,20.4805,0.62829,2.1,1320.1,7.5,5.2,1670.1,2328.7,71.7181
50,60,2,1,0,905.9,2893,31.3135,2.04114,0,4473.1,13,4.1,4787.4,2200.5,217.56
50,60,2,2,0,809.5,2893,27.9813,1.24623,0.1,2907.3,13,6.4,3194.2,2540.1,125.751
50,60,3,1,0,619.8,2893,21.4241,0.924655,1.4,1909.5,8.7,3.8,2224.9,2132.1,104.353
50,60,3,2,0,621.8,2893,21.4933,0.771435,1,1590.7,8.7,5.1,1907.7,2277,83.7813
50,80,1,1,0,750,3873,19.3648,0.67364,5.2,2090.7,7.6,3.6,2551.2,3392.3,75.2056
50,80,1,2,0,733.9,3873,18.9491,0.537559,4.1,1578.2,7.5,5.2,2027.3,3507.9,57.7924
50,80,2,1,0,1185.9,3873,30.6197,1.88636,0,6349.3,13,3.7,6771.4,3334.3,203.083
50,80,2,2,0,1055,3873,27.2399,1.12709,0,3783.3,13,6.2,4155.1,3630.4,114.453
50,80,3,1,0,800.3,3873,20.6636,0.837129,1,2525.9,8.7,3.8,2939.1,3109.5,94.52
50,80,3,2,0,801.9,3873,20.7049,0.69047,0.5,2109,8.7,5,2525.9,3324.1,75.9875
50,100,1,1,0,916.8,4853,18.8914,0.625359,5.8,2580.7,7.6,4.1,3146.1,4393.7,71.6048
50,100,1,2,0,897.7,4853,18.4978,0.506431,3.4,1997.7,7.5,5.3,2553.3,4684.3,54.5076
50,100,2,1,0,1364.5,4853,28.1166,1.51483,0,6877.1,13,4,7366.2,4582,160.764
50,100,2,2,0,1301,4853,26.8082,1.06404,0,4844.6,13,6.5,5311.1,4922.8,107.888
50,100,3,1,0,982,4853,20.2349,0.776002,0.9,3235,8.7,4.2,3747.2,4258.5,87.9934
50,100,3,2,0,991.2,4853,20.4245,0.664216,1.5,2748,8.7,5.4,3272.5,4510.8,72.5481
