Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,272,904,3,749,8,4,2.2341
0,0,933,538,0,0,8,4,2.2341
0,1,276,1085,1,925,7,3,2.10609
0,0,933,606,0,0,7,3,2.10609
0,1,373,1978,7,1754,8,3,2.02986
0,0,933,611,0,0,8,3,2.02986
0,1,278,955,2,795,7,5,1.89856
0,0,933,550,0,0,7,5,1.89856
0,1,268,1107,2,959,9,4,2.39766
0,0,933,657,0,0,9,4,2.39766
0,1,229,663,2,539,8,4,2.12632
0,0,933,590,0,0,8,4,2.12632
0,1,215,506,2,388,7,4,2.08913
0,0,933,516,0,0,7,4,2.08913
0,1,220,528,3,408,7,5,1.86549
0,0,933,519,0,0,7,5,1.86549
0,1,231,589,1,465,8,3,2.11347
0,0,933,506,0,0,8,3,2.11347
0,1,220,402,0,292,7,4,1.72768
0,0,933,415,0,0,7,4,1.72768
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,283,839,0,687,8,5,2.30992
0,0,933,532,0,0,8,5,2.30992
0,1,226,540,1,420,7,5,2.16385
0,0,933,598,0,0,7,5,2.16385
0,1,366,1572,1,1364,7,4,2.091
0,0,933,567,0,0,7,4,2.091
0,1,226,502,3,379,7,5,1.95352
0,0,933,530,0,0,7,5,1.95352
0,1,280,998,0,848,9,6,2.49761
0,0,933,640,0,0,9,6,2.49761
0,1,271,833,0,688,8,5,2.21487
0,0,933,591,0,0,8,5,2.21487
0,1,225,468,2,346,7,5,2.17188
0,0,933,525,0,0,7,5,2.17188
0,1,227,478,0,358,7,5,1.92283
0,0,933,538,0,0,7,5,1.92283
0,1,240,597,1,469,8,5,2.18
0,0,933,537,0,0,8,5,2.18
0,1,228,426,1,310,7,4,1.78528
0,0,933,439,0,0,7,4,1.78528
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,494,3669,0,3504,13,5,2.21773
0,0,933,510,0,0,13,5,2.21773
0,1,357,1696,0,1577,13,7,2.17712
0,0,933,505,0,0,13,7,2.17712
0,1,356,1557,0,1440,13,4,2.2539
0,0,933,483,0,0,13,4,2.2539
0,1,420,2513,0,2369,13,3,2.40469
0,0,933,495,0,0,13,3,2.40469
0,1,296,1005,0,910,13,5,2.29575
0,0,933,485,0,0,13,5,2.29575
0,1,327,1340,0,1236,13,4,2.1711
0,0,933,497,0,0,13,4,2.1711
0,1,299,968,0,873,13,5,2.2951
0,0,933,469,0,0,13,5,2.2951
0,1,354,1635,0,1518,13,5,2.25429
0,0,933,479,0,0,13,5,2.25429
0,1,331,1280,0,1174,13,3,2.19357
0,0,933,453,0,0,13,3,2.19357
0,1,410,2368,0,2231,13,5,2.35131
0,0,933,471,0,0,13,5,2.35131
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,531,3802,0,3616,13,6,2.30268
0,0,933,553,0,0,13,6,2.30268
0,1,375,1711,0,1587,13,6,2.25812
0,0,933,529,0,0,13,6,2.25812
0,1,376,1650,0,1524,13,6,2.3398
0,0,933,515,0,0,13,6,2.3398
0,1,449,2630,0,2481,13,6,2.48555
0,0,933,532,0,0,13,6,2.48555
0,1,311,1081,0,980,13,6,2.39392
0,0,933,522,0,0,13,6,2.39392
0,1,499,3335,0,3163,13,6,2.2613
0,0,933,537,0,0,13,6,2.2613
0,1,357,1431,0,1316,13,6,2.38454
0,0,933,487,0,0,13,6,2.38454
0,1,375,1694,0,1569,13,6,2.33941
0,0,933,508,0,0,13,6,2.33941
0,1,347,1268,0,1154,13,6,2.27346
0,0,933,481,0,0,13,6,2.27346
0,1,448,2565,0,2414,13,5,2.45006
0,0,933,500,0,0,13,5,2.45006
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
