Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,70,11,0,0,13,1,8.98137
1,0,3873,438,0,0,13,1,8.98137
1,1,70,12,0,0,13,1,8.7909
1,0,3873,453,0,0,13,1,8.7909
1,1,74,13,0,0,13,1,9.06804
1,0,3873,442,0,0,13,1,9.06804
1,1,89,15,0,0,13,1,9.79608
1,0,3873,452,0,0,13,1,9.79608
1,1,80,13,0,0,13,1,9.32033
1,0,3873,432,0,0,13,1,9.32033
1,1,72,15,0,0,13,1,8.74874
1,0,3873,452,0,0,13,1,8.74874
1,1,116,20,0,0,13,1,9.41983
1,0,3873,438,0,0,13,1,9.41983
1,1,93,16,0,0,13,1,9.21194
1,0,3873,440,0,0,13,1,9.21194
1,1,74,12,0,0,13,1,8.82054
1,0,3873,466,0,0,13,1,8.82054
1,1,70,13,0,0,13,1,9.48422
1,0,3873,436,0,0,13,1,9.48422
