Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,393,32117,0,31823,13,6,294,6.70891
0,1,510,68271,0,67877,13,7,411,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,344,25950,6,25644,9,4,245,7.60752
0,1,372,35067,4,34722,9,3,273,7.82428
0,1,285,15266,3,15024,7,3,186,6.6901
0,1,394,37058,7,36690,10,4,295,7.97587
0,1,589,100058,18,99454,7,4,490,8.86724
0,1,315,14243,3,13974,8,4,216,6.37039
0,1,344,24841,4,24523,9,4,245,6.25736
0,1,352,24903,12,24578,9,4,253,7.25098
0,1,407,36141,7,35767,10,4,308,6.72793
0,1,362,32777,6,32444,9,4,263,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,370,28947,8,28621,9,6,271,7.82978
0,1,319,21896,5,21615,9,6,220,8.06303
0,1,303,17280,6,17009,7,4,204,6.8661
0,1,315,19496,4,19215,10,6,216,8.13468
0,1,543,76967,19,76420,7,4,444,9.19047
0,1,231,5613,9,5425,8,5,132,6.55767
0,1,287,13140,3,12900,9,6,188,6.43096
0,1,274,11693,4,11461,9,4,175,7.46585
0,1,304,16979,2,16720,10,6,205,6.94399
0,1,351,29921,4,29610,9,4,252,8.47389
