n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
30,20,1,1,0,132.7,553,23.9964,1.59292,0,170.5,5.1,3.8,216.9,130,166.846
30,20,1,2,0,124.9,553,22.5859,1.21651,0,142.2,5.1,4.1,185.3,140.1,132.263
30,20,2,1,0,194.3,553,35.1356,4.63881,0,605.9,9,4.7,657.7,131.4,500.533
30,20,2,2,0,189.1,553,34.1953,3.59847,0,507,9,5.5,554.6,140.7,394.172
30,20,3,1,0,149.3,553,26.9982,2.18814,0,235.7,6.7,3.8,283.1,125.5,225.578
30,20,3,2,0,147.9,553,26.745,2.00384,0,255.7,6.9,4.5,304.5,141.9,214.588
30,40,1,1,0,168.3,1133,14.8544,0.860768,0,222.7,5.1,3.4,283.9,315.7,89.9271
30,40,1,2,0,168.6,1133,14.8808,0.762189,0,229.7,5.1,4.6,291.6,350.6,83.1717
30,40,2,1,0,236.8,1133,20.9003,2.07489,0,724.4,9,4.6,784.7,344.9,227.515
30,40,2,2,0,244.9,1133,21.6152,1.83054,0,723.6,9,6,785.4,366.9,214.064
30,40,3,1,0,190.4,1133,16.8049,1.19687,0,308.9,6.7,3.6,370.8,302,122.781
30,40,3,2,0,189,1133,16.6814,1.00385,0,294.2,6.9,4.7,355.5,331.7,107.175
50,20,1,1,0,215.3,933,23.0761,2.25786,2.9,1568,7.6,3.9,1702.9,674.6,252.431
50,20,1,2,0,204,933,21.865,1.68646,1.6,1247.5,7.5,4.9,1372.8,730.9,187.823
50,20,2,1,0,285.5,933,30.6002,5.65292,0,3921.2,13,4.6,4043,672,601.637
50,20,2,2,0,288.5,933,30.9218,4.90966,0,3813.9,13,5.9,3938.6,742.3,530.594
50,20,3,1,0,228.4,933,24.4802,2.89499,1.2,2179.9,8.7,4.6,2307.3,629.6,366.471
50,20,3,2,0,241.4,933,25.8735,2.93649,0.2,2860.1,8.6,4.9,3003.4,706.5,425.11
50,40,1,1,0,266.7,1913,13.9415,1.19568,6.8,1926.8,7.6,4.1,2094.1,1564.5,133.851
50,40,1,2,0,265.1,1913,13.8578,0.992148,9.5,1619.1,7.5,5.5,1781.6,1585.6,112.361
50,40,2,1,0,332.3,1913,17.3706,2.63335,0,3932.9,13,4.6,4064.5,1487.4,273.262
50,40,2,2,0,336.3,1913,17.5797,2.07354,0.1,3432.8,13,6.7,3563.8,1681.5,211.942
50,40,3,1,0,271.5,1913,14.1924,1.44886,3.4,2250.3,8.7,4.4,2395.5,1426.3,167.952
50,40,3,2,0,278.7,1913,14.5687,1.34091,2.8,2122.4,8.7,5.1,2270.8,1504.4,150.944
n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,60,1,1,0,347.8,2893,12.0221,1.3157,5,3162,7.8,3.8,3380.4,2387.2,141.605
50,60,1,2,0,337.2,2893,11.6557,0.94571,3.8,2414.2,7.6,5.2,2620.2,2507.2,104.507
50,60,2,1,0,446.2,2893,15.4234,2.68669,0,6796,13,4.2,6971.6,2408.6,289.446
50,60,2,2,0,363.6,2893,12.5683,1.30645,0,3432.4,13,6.4,3569,2630.8,135.662
50,60,3,1,0,362.2,2893,12.5199,1.72484,0.8,4726,8.4,3.6,4926.4,2380.4,206.957
50,60,3,2,0,339.8,2893,11.7456,1.11635,1,2867.2,8.4,5.2,3044.4,2407.8,126.439
50,80,1,1,0,402,3873,10.3796,1.20422,2,4124.2,7.8,3.6,4371.6,3441.2,127.037
50,80,1,2,0,381.4,3873,9.84766,0.819296,5.8,3211.8,7.6,5.2,3449.6,3855.2,89.4791
50,80,2,1,0,520.8,3873,13.4469,2.57626,0,9430,13,4.2,9638.8,3534.8,272.683
50,80,2,2,0,418.8,3873,10.8133,1.11839,0,4444.8,13,6.6,4601.4,3826.2,120.26
50,80,3,1,0,435,3873,11.2316,1.5541,1.6,6511.2,8.4,3,6751.8,3436.8,196.456
50,80,3,2,0,398.4,3873,10.2866,1.00829,0.2,3894.4,8.4,5.2,4106.8,3586.8,114.498
50,100,1,1,0,470.8,4853,9.70122,1.13326,11.8,5561.6,7.8,4,5865.8,4851.6,120.904
50,100,1,2,0,423,4853,8.71626,0.764955,2,3912.2,7.6,5.2,4172.8,5010.6,83.2794
50,100,2,1,0,553.6,4853,11.4074,2.13313,0,10611,13,4,10828.4,4681.6,231.297
50,100,2,2,0,476,4853,9.80837,1.10331,0,5716.6,13,6.6,5894.4,5064.2,116.394
50,100,3,1,0,498.2,4853,10.2658,1.51315,0.8,8617.4,8.4,4,8892.4,4660,190.824
50,100,3,2,0,454,4853,9.35504,1.02014,1.2,5608.2,8.4,5.6,5856.8,4884.8,119.898
