Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,51,4,0,0,9,1,4.22508
1,0,1133,69,0,0,9,1,4.22508
0,1,368,397,0,327,9,5,4.11885
0,0,1133,269,0,0,9,5,4.11885
1,1,50,4,0,0,9,1,4.13794
1,0,1133,69,0,0,9,1,4.13794
0,1,371,402,0,333,9,5,4.09063
0,0,1133,270,0,0,9,5,4.09063
1,1,37,4,0,0,9,1,4.68367
1,0,1133,67,0,0,9,1,4.68367
0,1,603,1281,0,1166,9,6,4.63653
0,0,1133,276,0,0,9,6,4.63653
1,1,36,3,0,0,9,1,4.11699
1,0,1133,68,0,0,9,1,4.11699
0,1,496,709,0,614,9,4,4.07789
0,0,1133,259,0,0,9,4,4.07789
1,1,37,3,0,0,9,1,4.02425
1,0,1133,68,0,0,9,1,4.02425
0,1,369,350,0,280,9,4,3.95855
0,0,1133,245,0,0,9,4,3.95855
1,1,39,4,0,0,9,1,3.75345
1,0,1133,68,0,0,9,1,3.75345
0,1,374,347,0,279,9,6,3.67233
0,0,1133,226,0,0,9,6,3.67233
1,1,42,3,0,0,9,1,4.04459
1,0,1133,69,0,0,9,1,4.04459
0,1,463,614,0,523,9,4,3.97729
0,0,1133,250,0,0,9,4,3.97729
1,1,60,5,0,0,9,1,4.37543
1,0,1133,67,0,0,9,1,4.37543
0,1,365,381,0,313,9,4,4.25775
0,0,1133,248,0,0,9,4,4.25775
1,1,54,4,0,0,9,1,4.04955
1,0,1133,68,0,0,9,1,4.04955
0,1,368,349,0,279,9,3,3.96132
0,0,1133,238,0,0,9,3,3.96132
1,1,62,5,0,0,9,1,4.62047
1,0,1133,65,0,0,9,1,4.62047
0,1,389,467,0,394,9,5,4.47633
0,0,1133,260,0,0,9,5,4.47633
