Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,46,4,0,0,9,1,2.27464
1,0,553,38,0,0,9,1,2.27464
0,1,232,252,0,208,9,5,2.16024
0,0,553,117,0,0,9,5,2.16024
1,1,50,4,0,0,9,1,2.20201
1,0,553,37,0,0,9,1,2.20201
0,1,279,379,0,326,9,6,2.1282
0,0,553,125,0,0,9,6,2.1282
1,1,30,2,0,0,9,1,2.48915
1,0,553,35,0,0,9,1,2.48915
0,1,335,621,0,553,9,5,2.41167
0,0,553,126,0,0,9,5,2.41167
1,1,33,3,0,0,9,1,2.20082
1,0,553,38,0,0,9,1,2.20082
0,1,294,408,0,352,9,6,2.11855
0,0,553,122,0,0,9,6,2.11855
1,1,25,2,0,0,9,1,2.14933
1,0,553,37,0,0,9,1,2.14933
0,1,262,302,0,255,9,5,2.07793
0,0,553,114,0,0,9,5,2.07793
1,1,53,6,0,0,9,1,2.03453
1,0,553,38,0,0,9,1,2.03453
0,1,219,198,0,157,9,5,1.91911
0,0,553,109,0,0,9,5,1.91911
1,1,40,3,0,0,9,1,2.16978
1,0,553,36,0,0,9,1,2.16978
0,1,264,332,0,279,9,6,2.07701
0,0,553,121,0,0,9,6,2.07701
1,1,53,7,0,0,9,1,2.38744
1,0,553,37,0,0,9,1,2.38744
0,1,214,205,0,164,9,5,2.24487
0,0,553,124,0,0,9,5,2.24487
1,1,51,5,0,0,9,1,2.19996
1,0,553,38,0,0,9,1,2.19996
0,1,218,200,0,160,9,6,2.06999
0,0,553,112,0,0,9,6,2.06999
1,1,49,4,0,0,9,1,2.52124
1,0,553,37,0,0,9,1,2.52124
0,1,336,636,0,567,9,6,2.34859
0,0,553,124,0,0,9,6,2.34859
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,232,290,0,240,9,5,11,2.16024
0,0,553,133,0,0,9,5,0,2.16024
0,1,279,449,0,391,9,6,14,2.1282
0,0,553,139,0,0,9,6,0,2.1282
0,1,335,706,0,631,9,5,18,2.41167
0,0,553,140,0,0,9,5,0,2.41167
0,1,294,456,0,398,9,6,15,2.11855
0,0,553,133,0,0,9,6,0,2.11855
0,1,262,343,0,292,9,5,13,2.07793
0,0,553,121,0,0,9,5,0,2.07793
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,232,291,0,242,9,5,11,2.16024
0,0,553,135,0,0,9,5,0,2.16024
0,1,279,478,0,419,9,6,14,2.1282
0,0,553,140,0,0,9,6,0,2.1282
0,1,335,722,0,648,9,5,18,2.41167
0,0,553,158,0,0,9,5,0,2.41167
0,1,294,465,0,400,9,6,15,2.11855
0,0,553,145,0,0,9,6,0,2.11855
0,1,262,383,0,325,9,5,13,2.07793
0,0,553,137,0,0,9,5,0,2.07793
