Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,34,7,0,0,6,1,2.73826
1,0,553,61,0,0,6,1,2.73826
0,1,164,143,0,97,6,4,2.59423
0,0,553,145,0,0,6,4,2.59423
1,1,46,8,0,0,5,1,2.50765
1,0,553,64,0,0,5,1,2.50765
0,1,151,116,0,72,5,5,2.36263
0,0,553,135,0,0,5,5,2.36263
1,1,49,9,0,0,4,1,2.01263
1,0,553,64,0,0,4,1,2.01263
0,1,139,70,0,31,4,4,1.8608
0,0,553,101,0,0,4,4,1.8608
1,1,30,6,0,0,5,1,2.39297
1,0,553,67,0,0,5,1,2.39297
0,1,152,125,0,79,5,4,2.27137
0,0,553,137,0,0,5,4,2.27137
1,1,31,6,0,0,6,1,2.68527
1,0,553,63,0,0,6,1,2.68527
0,1,165,146,0,95,6,5,2.63719
0,0,553,138,0,0,6,5,2.63719
1,1,43,8,0,0,5,1,2.49316
1,0,553,63,0,0,5,1,2.49316
0,1,153,112,0,65,5,4,2.25546
0,0,553,126,0,0,5,4,2.25546
1,1,39,7,0,0,4,1,2.25255
1,0,553,68,0,0,4,1,2.25255
0,1,137,80,0,39,4,3,2.11139
0,0,553,112,0,0,4,3,2.11139
1,1,47,9,0,0,5,1,2.51536
1,0,553,65,0,0,5,1,2.51536
0,1,153,116,0,71,5,4,2.41195
0,0,553,139,0,0,5,4,2.41195
1,1,21,4,0,0,6,1,2.52049
1,0,553,68,0,0,6,1,2.52049
0,1,167,151,0,97,6,4,2.47297
0,0,553,143,0,0,6,4,2.47297
1,1,44,8,0,0,5,1,2.5846
1,0,553,63,0,0,5,1,2.5846
0,1,152,122,0,77,5,4,2.40184
0,0,553,134,0,0,5,4,2.40184
