Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,385,32718,0,32413,13,6,286,6.70891
0,1,447,50759,0,50415,13,7,348,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,325,22511,2,22220,9,4,226,7.60752
0,1,366,33679,11,33333,9,3,267,7.82428
0,1,289,16401,8,16154,7,3,190,6.6901
0,1,378,34549,9,34201,10,4,279,7.97587
0,1,540,81752,13,81216,7,4,441,8.86724
0,1,296,12714,13,12435,8,4,197,6.37039
0,1,320,21037,9,20751,9,4,221,6.25736
0,1,326,21619,6,21317,9,4,227,7.25098
0,1,382,33890,19,33527,10,4,283,6.72793
0,1,345,30396,9,30075,9,4,246,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,343,25378,5,25077,9,6,244,7.82978
0,1,302,20009,6,19747,9,6,203,8.06303
0,1,293,16327,9,16075,7,4,194,6.8661
0,1,297,17767,5,17502,10,6,198,8.13468
0,1,497,64258,17,63765,7,4,398,9.19047
0,1,219,4684,1,4512,8,5,120,6.55767
0,1,268,11805,5,11584,9,6,169,6.43096
0,1,273,12184,7,11948,9,4,174,7.46585
0,1,322,20927,6,20635,10,6,223,6.94399
0,1,307,24579,28,24285,9,4,208,8.47389
