Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,553,1630,1,1354,9,4,11,7.60752
0,1,642,2440,0,2120,9,3,13,7.82428
0,1,478,1065,0,829,7,3,9,6.6901
0,1,653,2335,0,2008,10,4,13,7.97587
0,1,980,5672,2,5157,7,4,21,8.86724
0,1,521,975,1,723,8,4,10,6.37039
0,1,568,1500,1,1222,9,4,11,6.25736
0,1,559,1455,0,1178,9,4,11,7.25098
0,1,702,2519,0,2177,10,4,14,6.72793
0,1,542,1851,0,1582,9,4,11,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,585,1735,0,1441,9,6,10,7.82978
0,1,582,1707,0,1415,9,6,10,8.06303
0,1,500,1173,1,920,7,4,8,6.8661
0,1,637,1908,1,1583,10,6,11,8.13468
0,1,938,4421,0,3930,7,4,18,9.19047
0,1,506,814,0,565,8,5,8,6.55767
0,1,605,1456,0,1151,9,6,10,6.43096
0,1,594,1443,1,1142,9,4,10,7.46585
0,1,700,2156,0,1812,10,6,12,6.94399
0,1,571,1826,0,1532,9,4,10,8.47389
