Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,36,6,0,0,6,1,2.54885
1,0,553,55,0,0,6,1,2.54885
0,1,157,143,0,97,6,3,2.48758
0,0,553,128,0,0,6,3,2.48758
1,1,30,5,0,0,5,1,2.36118
1,0,553,63,0,0,5,1,2.36118
0,1,147,112,0,69,5,5,2.31193
0,0,553,124,0,0,5,5,2.31193
1,1,32,5,0,0,4,1,1.8413
1,0,553,56,0,0,4,1,1.8413
0,1,132,65,0,28,4,3,1.80899
0,0,553,89,0,0,4,3,1.80899
1,1,34,8,0,0,5,1,2.24894
1,0,553,65,0,0,5,1,2.24894
0,1,186,198,0,138,5,4,2.21313
0,0,553,127,0,0,5,4,2.21313
1,1,27,7,0,0,6,1,2.55988
1,0,553,59,0,0,6,1,2.55988
0,1,159,145,0,98,6,5,2.53945
0,0,553,120,0,0,6,5,2.53945
1,1,32,6,0,0,5,1,2.30737
1,0,553,57,0,0,5,1,2.30737
0,1,144,108,0,66,5,4,2.20669
0,0,553,110,0,0,5,4,2.20669
1,1,21,4,0,0,4,1,2.09539
1,0,553,60,0,0,4,1,2.09539
0,1,132,77,0,39,4,3,2.04491
0,0,553,104,0,0,4,3,2.04491
1,1,23,6,0,0,5,1,2.36355
1,0,553,60,0,0,5,1,2.36355
0,1,147,130,0,84,5,3,2.33786
0,0,553,127,0,0,5,3,2.33786
1,1,22,4,0,0,6,1,2.43536
1,0,553,70,0,0,6,1,2.43536
0,1,161,156,0,105,6,4,2.42104
0,0,553,129,0,0,6,4,2.42104
1,1,39,7,0,0,5,1,2.40756
1,0,553,56,0,0,5,1,2.40756
0,1,145,112,0,72,5,4,2.33111
0,0,553,127,0,0,5,4,2.33111
