n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,1,49.9,0,inf,16.9521,0,0,7.6,1,17.4,0,inf,625
50,40,1,2,1,55.6,0,inf,20.4373,0,0,7.5,1,20.7,0,inf,686
50,40,2,1,1,55.6,0,inf,10.5912,0,0,13,1,10.8,0,inf,687
50,40,2,2,1,57,0,inf,10.2691,0,0,13,1,10.4,0,inf,698
50,40,3,1,1,61,0,inf,18.3702,0,0,9,1,18.8,0,inf,773
50,40,3,2,1,53.3,0,inf,15.8255,0,0,8.9,1,16.3,0,inf,655
50,60,1,1,1,59.3,0,inf,21.3372,0,0,7.6,1,21.7,0,inf,723
50,60,1,2,1,61.5,0,inf,22.6173,0,0,7.5,1,23.1,0,inf,768
50,60,2,1,1,73.5,0,inf,14.0999,0,0,13,1,14.5,0,inf,914
50,60,2,2,1,67.6,0,inf,12.7824,0,0,13,1,13.1,0,inf,837
50,60,3,1,1,64.8,0,inf,19.9508,0,0,9,1,20.5,0,inf,815
50,60,3,2,1,60.8,0,inf,19.0405,0,0,8.9,1,19.3,0,inf,755
