Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,100,17,0,0,13,1,12.0346
1,0,4853,616,0,0,13,1,12.0346
1,1,89,15,0,0,13,1,11.651
1,0,4853,608,0,0,13,1,11.651
1,1,87,14,0,0,13,1,11.9869
1,0,4853,615,0,0,13,1,11.9869
1,1,110,18,0,0,13,1,13.0346
1,0,4853,608,0,0,13,1,13.0346
1,1,90,16,0,0,13,1,12.4914
1,0,4853,601,0,0,13,1,12.4914
1,1,85,17,0,0,13,1,11.6359
1,0,4853,612,0,0,13,1,11.6359
1,1,94,16,0,0,13,1,12.3984
1,0,4853,611,0,0,13,1,12.3984
1,1,119,22,0,0,13,1,12.369
1,0,4853,617,0,0,13,1,12.369
1,1,81,15,0,0,13,1,11.6755
1,0,4853,603,0,0,13,1,11.6755
1,1,94,16,0,0,13,1,12.573
1,0,4853,608,0,0,13,1,12.573
