n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%)
50,20,1,1,0,215,933,23.0439,5.08363,1,2743,7.8,3.8,2883,544,529.963
50,20,1,2,0,198.6,933,21.2862,3.02217,0.4,1777.8,7.6,5,1894.4,563,336.483
50,20,2,1,0,259.4,933,27.8028,9.72609,0,5084.4,13,4.8,5203,513.2,1013.83
50,20,2,2,0,253.6,933,27.1811,7.02803,0,4087.8,13,6,4198,555.2,756.124
50,20,3,1,0,219.4,933,23.5155,5.33607,0.6,3381.2,8.4,4.2,3507.2,523.8,669.569
50,20,3,2,0,226,933,24.2229,4.75398,0,3750.2,8.4,5,3880.4,579.2,669.959
50,40,1,1,0,249,1913,13.0162,2.08382,6,3111.2,7.8,4.2,3272.8,1473,222.186
50,40,1,2,0,250.4,1913,13.0894,1.55521,5.4,2618.8,7.6,5.8,2778,1628,170.639
50,40,2,1,0,283.4,1913,14.8144,3.34755,0.6,5352.8,13,4.6,5482.6,1562.8,350.819
50,40,2,2,0,274.2,1913,14.3335,2.29114,1.6,3973.8,13,6.8,4093.4,1736,235.795
50,40,3,1,0,252.2,1913,13.1835,2.28271,9.2,4231.2,8.4,4,4391,1594.2,275.436
50,40,3,2,0,257.8,1913,13.4762,1.89445,6.2,3267,8.4,5.4,3418,1663.6,205.458
50,60,1,1,0,296.4,2893,10.2454,1.67797,19.6,4909,7.8,3.8,5122.4,2788.2,183.717
50,60,1,2,0,287.4,2893,9.93432,1.13936,18.2,3570.4,7.6,5.2,3767.4,2984.2,126.245
50,60,2,1,0,375.2,2893,12.9692,3.54948,1.8,10574.8,13,4.2,10767.4,2873,374.779
50,60,2,2,0,317.4,2893,10.9713,1.60881,0.8,5215.8,13,6.4,5357.8,3119.6,171.746
50,60,3,1,0,320,2893,11.0612,2.31312,10.6,7722.4,8.4,3.6,7937.8,2829.2,280.567
50,60,3,2,0,306.4,2893,10.5911,1.53126,8.8,4839.8,8.4,5.2,5027,2879.8,174.561
50,80,1,1,0,352.2,3873,9.09373,1.64865,16.6,6218.8,7.8,3.6,6469.6,3616,178.916
50,80,1,2,0,331.4,3873,8.55667,1.16947,14,4787.2,7.6,5.2,5008.2,3861.2,129.706
50,80,2,1,0,439.2,3873,11.34,3.29846,0,13090.8,13,4.2,13304.2,3824.2,347.895
50,80,2,2,0,370.2,3873,9.55848,1.58868,0,6763.8,13,6.6,6922,4034.6,171.566
50,80,3,1,0,383.2,3873,9.89414,2.31409,2.4,10080.2,8.4,3,10330,3670,281.471
50,80,3,2,0,356.4,3873,9.20217,1.46788,2,6553.2,8.4,5.2,6765.8,3969.2,170.458
50,100,1,1,0,390,4853,8.03627,1.47324,24.8,7834,7.8,4,8117.8,5129.2,158.266
50,100,1,2,0,375.6,4853,7.73954,1.054,13.8,6254.2,7.6,5.2,6511.8,5463.6,119.185
50,100,2,1,0,471.4,4853,9.71358,2.79597,0.2,15907.6,13,4,16143.8,5198.6,310.541
50,100,2,2,0,418,4853,8.61323,1.49989,0.2,8829,13,6.6,9015.8,5600.4,160.985
50,100,3,1,0,436.4,4853,8.99238,2.19409,2.6,12764.8,8.4,4,13059.6,4941.4,264.289
50,100,3,2,0,413.8,4853,8.52668,1.51839,2.4,8533.6,8.4,5.6,8784.2,4968,176.816
