Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,0,4853,4649,0,0,13,4,11.9403
0,1,397,13703,0,13492,13,4,11.3623
0,0,4853,4594,0,0,13,4,11.3623
0,1,455,16679,0,16435,13,4,10.7223
0,0,4853,4781,0,0,13,4,10.7223
0,1,410,10740,0,10536,13,4,11.3489
0,0,4853,4201,0,0,13,4,11.3489
0,1,462,20160,0,19897,13,4,11.1698
0,0,4853,4443,0,0,13,4,11.1698
0,1,459,15767,0,15529,13,4,10.8709
0,0,4853,4212,0,0,13,4,10.8709
0,1,456,17358,0,17115,13,4,11.5962
0,0,4853,4347,0,0,13,4,11.5962
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,418,11147,0,10959,13,6,11.2892
0,0,4853,5304,0,0,13,6,11.2892
0,1,312,4359,0,4234,13,9,11.0896
0,0,4853,5007,0,0,13,9,11.0896
0,1,416,11292,0,11100,13,6,11.4886
0,0,4853,4763,0,0,13,6,11.4886
0,1,464,16306,0,16082,13,6,12.2482
0,0,4853,5022,0,0,13,6,12.2482
0,1,382,10527,0,10346,13,6,11.7056
0,0,4853,4870,0,0,13,6,11.7056
0,1,436,12726,0,12530,13,5,11.062
0,0,4853,5141,0,0,13,5,11.062
0,1,408,9939,0,9755,13,7,11.6812
0,0,4853,4552,0,0,13,7,11.6812
0,1,403,10084,0,9902,13,8,11.481
0,0,4853,4769,0,0,13,8,11.481
0,1,417,9516,0,9336,13,6,11.1673
0,0,4853,4423,0,0,13,6,11.1673
0,1,430,14135,0,13928,13,6,11.9856
0,0,4853,4634,0,0,13,6,11.9856
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,373,9366,0,9124,9,4,12.6764
0,0,4853,3951,0,0,9,4,12.6764
0,1,391,12516,1,12253,9,4,13.0289
0,0,4853,5167,0,0,9,4,13.0289
0,1,330,5882,1,5679,7,4,11.1463
0,0,4853,4274,0,0,7,4,11.1463
0,1,408,13056,1,12773,10,4,13.2901
0,0,4853,5118,0,0,10,4,13.2901
0,1,613,35569,1,35108,7,4,14.7699
0,0,4853,4491,0,0,7,4,14.7699
0,1,264,2628,1,2480,8,4,10.6097
0,0,4853,2824,0,0,8,4,10.6097
0,1,349,6168,1,5953,9,6,10.423
0,0,4853,3905,0,0,9,6,10.423
0,1,334,6058,1,5846,9,4,12.0738
0,0,4853,3414,0,0,9,4,12.0738
0,1,403,11227,0,10964,10,4,11.1966
0,0,4853,4061,0,0,10,4,11.1966
0,1,349,9276,0,9051,9,4,13.646
0,0,4853,4730,0,0,9,4,13.646
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
0,1,395,10300,0,10059,9,7,13.0346
0,0,4853,4191,0,0,9,7,13.0346
0,1,346,7468,1,7263,9,6,13.4255
0,0,4853,5480,0,0,9,6,13.4255
0,1,320,4761,0,4581,7,4,11.4367
0,0,4853,4500,0,0,7,4,11.4367
0,1,359,9249,0,9020,10,6,13.5571
0,0,4853,5240,0,0,10,6,13.5571
0,1,585,22729,2,22342,7,5,15.2906
0,0,4853,4613,0,0,7,5,15.2906
0,1,275,2032,0,1891,8,5,10.9028
0,0,4853,3121,0,0,8,5,10.9028
0,1,343,4686,0,4490,9,6,10.7158
0,0,4853,4259,0,0,9,6,10.7158
0,1,346,6811,0,6600,9,4,12.4388
0,0,4853,3822,0,0,9,4,12.4388
0,1,337,6222,0,6026,10,6,11.5428
0,0,4853,4323,0,0,10,6,11.5428
0,1,330,6952,0,6759,9,5,14.0984
0,0,4853,5045,0,0,9,5,14.0984
