Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,746,44238,67,43621,18,6,0,2.35587
0,0,1883,6439,0,0,18,6,0,2.35587
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,746,41418,61,40802,18,6,40,2.35587
0,0,1883,6226,0,0,18,6,0,2.35587
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,746,43256,71,42637,18,6,40,2.35587
0,0,1883,6116,0,0,18,6,0,2.35587
0,1,607,22246,33,21785,18,3,30,2.33076
0,0,1883,5839,0,0,18,3,0,2.33076
0,1,512,14258,27,13884,18,5,23,2.2132
0,0,1883,5557,0,0,18,5,0,2.2132
0,1,780,46366,44,45752,18,5,43,2.32416
0,0,1883,6242,0,0,18,5,0,2.32416
0,1,564,18527,28,18111,18,5,27,2.31128
0,0,1883,5739,0,0,18,5,0,2.31128
