Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,442,10578,0,10372,13,6,101,6.70891
0,1,514,16412,0,16170,13,7,121,7.20332
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,433,8430,8,8170,9,4,77,7.60752
0,1,436,10850,1,10574,9,3,90,7.82428
0,1,335,5236,5,5036,7,3,59,6.6901
0,1,428,10090,5,9811,10,4,90,7.97587
0,1,580,25230,10,24816,7,4,151,8.86724
0,1,363,4027,2,3807,8,4,63,6.37039
0,1,400,6915,7,6667,9,4,70,6.25736
0,1,394,6622,3,6378,9,4,72,7.25098
0,1,470,13847,7,13533,10,4,108,6.72793
0,1,394,9054,8,8799,9,4,78,8.19266
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,1,367,6422,5,6210,9,6,67,7.82978
0,1,346,6650,4,6438,9,6,67,8.06303
0,1,316,5165,6,4973,7,4,63,6.8661
0,1,342,6443,4,6234,10,6,69,8.13468
0,1,553,17897,10,17532,7,4,115,9.19047
0,1,282,2668,3,2505,8,5,56,6.55767
0,1,339,5401,3,5200,9,6,66,6.43096
0,1,352,5703,3,5483,9,4,72,7.46585
0,1,392,9745,7,9498,10,6,91,6.94399
0,1,343,7136,4,6926,9,4,67,8.47389
