Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Opt Obj
1,1,51,8,0,0,13,1,2.44634
1,0,933,124,0,0,13,1,2.44634
1,1,49,8,0,0,13,1,2.36951
1,0,933,120,0,0,13,1,2.36951
1,1,50,8,0,0,13,1,2.42695
1,0,933,118,0,0,13,1,2.42695
1,1,47,8,0,0,13,1,2.63186
1,0,933,115,0,0,13,1,2.63186
1,1,48,9,0,0,13,1,2.53697
1,0,933,120,0,0,13,1,2.53697
1,1,50,8,0,0,13,1,2.36796
1,0,933,121,0,0,13,1,2.36796
1,1,40,9,0,0,13,1,2.51497
1,0,933,118,0,0,13,1,2.51497
1,1,56,10,0,0,13,1,2.50678
1,0,933,120,0,0,13,1,2.50678
1,1,42,7,0,0,13,1,2.36558
1,0,933,118,0,0,13,1,2.36558
1,1,43,8,0,0,13,1,2.56122
1,0,933,117,0,0,13,1,2.56122
