n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
50,40,1,1,1,49,0,inf,17.0123,0,0,7.6,1,17.4,0,inf,612
50,40,1,2,1,54.9,0,inf,19.8776,0,0,7.5,1,20.2,0,inf,679
50,40,2,1,1,53.9,0,inf,10.336,0,0,13,1,10.6,0,inf,670
50,40,2,2,1,58.6,0,inf,10.873,0,0,13,1,11,0,inf,714
50,40,3,1,1,59.1,0,inf,18.0275,0,0,9,1,18.5,0,inf,752
50,40,3,2,1,53.7,0,inf,16.2064,0,0,8.9,1,16.5,0,inf,659
50,60,1,1,1,57.3,0,inf,21.9682,0,0,7.6,1,22.3,0,inf,703
50,60,1,2,1,64.9,0,inf,24.8358,0,0,7.5,1,25.3,0,inf,802
50,60,2,1,1,71.4,0,inf,12.7712,0,0,13,1,13,0,inf,893
50,60,2,2,1,71.7,0,inf,13.6689,0,0,13,1,13.8,0,inf,883
50,60,3,1,1,69.7,0,inf,21.1301,0,0,9,1,21.9,0,inf,867
50,60,3,2,1,66.3,0,inf,21.0796,0,0,8.9,1,21.4,0,inf,810
